epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6444,1.74774,3.94948,1.86907,0.61269,0.13417,0.12952,0.05985,1.91436,4.01477,1.92422,0.0002744,0.0002744,0.0002744
2,159.183,1.69099,2.65419,1.73794,0.45019,0.2579,0.17623,0.0813,1.7503,2.64946,1.80279,0.000546601,0.000546601,0.000546601
3,239.609,1.70821,2.47293,1.72846,0.37305,0.27802,0.20303,0.0977,1.8325,2.94588,1.91332,0.000813305,0.000813305,0.000813305
4,320.905,1.69259,2.33012,1.69358,0.46402,0.29036,0.22935,0.10937,1.84806,2.38958,1.94758,0.00080826,0.00080826,0.00080826
5,402.67,1.66096,2.19192,1.67874,0.57481,0.25938,0.31252,0.13996,1.80118,2.30438,1.86311,0.000800013,0.000800013,0.000800013
6,482.914,1.63083,2.13336,1.64662,0.56612,0.27046,0.281,0.13712,1.80455,2.62318,1.87762,0.000791767,0.000791767,0.000791767
7,563.19,1.62192,2.02336,1.62861,0.5442,0.43976,0.4542,0.22595,1.67477,1.84518,1.72711,0.00078352,0.00078352,0.00078352
8,642.958,1.58191,1.92694,1.59159,0.46332,0.45758,0.41001,0.21231,1.68043,1.95706,1.71521,0.000775273,0.000775273,0.000775273
9,723.529,1.59093,1.89702,1.59751,0.50754,0.49925,0.49112,0.25079,1.62753,1.76051,1.67303,0.000767026,0.000767026,0.000767026
10,805.569,1.55174,1.81299,1.56381,0.54969,0.41235,0.42493,0.21611,1.72118,1.98915,1.78673,0.00075878,0.00075878,0.00075878
11,887.313,1.54712,1.75052,1.56347,0.6186,0.48986,0.54901,0.28478,1.66239,1.61807,1.67812,0.000750533,0.000750533,0.000750533
12,969.388,1.52147,1.66408,1.52814,0.55896,0.55717,0.537,0.26806,1.67091,1.67064,1.71407,0.000742286,0.000742286,0.000742286
13,1051.25,1.51056,1.65786,1.52713,0.71252,0.48948,0.58091,0.30077,1.62972,1.57028,1.65231,0.00073404,0.00073404,0.00073404
