epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9002,2.56814,3.99514,3.63383,0.44839,0.09952,0.05182,0.01792,2.22589,5.42508,3.23308,0.000275791,0.000275791,0.000275791
2,156.969,2.10121,3.41645,2.86768,0.43591,0.1099,0.03882,0.01524,1.89356,3.40008,2.76681,0.000547978,0.000547978,0.000547978
3,232.207,1.95739,3.153,2.59937,0.40937,0.11587,0.0715,0.03528,1.91303,3.79529,2.77146,0.000814668,0.000814668,0.000814668
4,307.717,1.89669,2.99645,2.52459,0.35567,0.17046,0.10093,0.04168,1.85423,2.83995,2.63836,0.00080826,0.00080826,0.00080826
5,382.812,1.82256,2.84307,2.43108,0.47086,0.1827,0.11815,0.05028,1.91095,2.93019,2.70646,0.000800013,0.000800013,0.000800013
6,458.094,1.7943,2.80981,2.39647,0.47532,0.20591,0.10584,0.0452,1.82273,2.86292,2.52505,0.000791767,0.000791767,0.000791767
7,532.345,1.76413,2.73875,2.37368,0.51219,0.19106,0.13938,0.06868,1.77466,2.67298,2.54233,0.00078352,0.00078352,0.00078352
8,608.123,1.72943,2.61967,2.32475,0.49815,0.26575,0.16032,0.07729,1.7054,2.5287,2.40284,0.000775273,0.000775273,0.000775273
9,683.225,1.70223,2.56576,2.28794,0.21526,0.23517,0.13523,0.06287,1.82828,2.75936,2.58961,0.000767026,0.000767026,0.000767026
10,757.779,1.68488,2.47044,2.28521,0.51084,0.25889,0.1777,0.08448,1.72729,2.40921,2.45824,0.00075878,0.00075878,0.00075878
11,832.093,1.6441,2.45012,2.25119,0.57595,0.25986,0.20214,0.10145,1.75408,2.38245,2.48888,0.000750533,0.000750533,0.000750533
12,906.495,1.63476,2.37449,2.21855,0.47581,0.3126,0.22408,0.11337,1.63382,2.23673,2.3705,0.000742286,0.000742286,0.000742286
13,981.613,1.62214,2.29382,2.18907,0.37369,0.33599,0.24908,0.12625,1.63744,2.2118,2.35943,0.00073404,0.00073404,0.00073404
14,1055.95,1.62006,2.23429,2.20308,0.57796,0.26952,0.25467,0.13088,1.64943,2.14073,2.38544,0.000725793,0.000725793,0.000725793
15,1131.03,1.57863,2.20797,2.17271,0.41505,0.34919,0.30914,0.163,1.62741,2.091,2.34509,0.000717546,0.000717546,0.000717546
16,1205.62,1.56573,2.14418,2.16738,0.35774,0.41989,0.33768,0.17076,1.63006,2.06155,2.34622,0.000709299,0.000709299,0.000709299
17,1280.45,1.54867,2.08154,2.13196,0.53025,0.28668,0.35342,0.18262,1.65407,2.07505,2.37973,0.000701053,0.000701053,0.000701053
18,1354.94,1.55558,2.08457,2.13859,0.42812,0.40093,0.36075,0.18339,1.67177,1.99717,2.38291,0.000692806,0.000692806,0.000692806
19,1429.42,1.52695,2.00495,2.11563,0.50619,0.42104,0.42871,0.22116,1.64641,1.90488,2.36735,0.000684559,0.000684559,0.000684559
20,1504.45,1.5137,1.98628,2.09676,0.47473,0.40947,0.41274,0.20767,1.64641,1.89583,2.36092,0.000676313,0.000676313,0.000676313
21,1578.62,1.49854,1.94406,2.07329,0.45124,0.48703,0.44644,0.23494,1.62397,1.84166,2.33888,0.000668066,0.000668066,0.000668066
22,1653.64,1.49691,1.89066,2.08097,0.59591,0.43268,0.47913,0.24975,1.64553,1.82322,2.38975,0.000659819,0.000659819,0.000659819
23,1728.63,1.48742,1.85514,2.0626,0.52612,0.50519,0.50366,0.2515,1.64464,1.87537,2.39075,0.000651573,0.000651573,0.000651573
24,1803.19,1.46457,1.82035,2.04707,0.5455,0.50165,0.51365,0.25722,1.65937,1.70683,2.36917,0.000643326,0.000643326,0.000643326
25,1878.08,1.47583,1.78981,2.05728,0.55892,0.47781,0.51332,0.26634,1.62203,1.77393,2.3578,0.000635079,0.000635079,0.000635079
26,1952.47,1.45027,1.72275,2.02463,0.60509,0.50053,0.55975,0.29839,1.57259,1.62199,2.28938,0.000626832,0.000626832,0.000626832
27,2026.9,1.40622,1.64301,1.99905,0.54923,0.52486,0.55967,0.30166,1.5683,1.59861,2.30455,0.000618586,0.000618586,0.000618586
28,2101.43,1.39971,1.60383,1.98713,0.598,0.50796,0.56234,0.29098,1.61494,1.67944,2.33354,0.000610339,0.000610339,0.000610339
29,2175.28,1.36581,1.5997,1.96063,0.67508,0.49287,0.59143,0.31324,1.59461,1.61189,2.31824,0.000602092,0.000602092,0.000602092
30,2249.58,1.36694,1.5413,1.95628,0.62457,0.52632,0.60708,0.3203,1.57713,1.54351,2.28708,0.000593846,0.000593846,0.000593846
31,2324.57,1.36918,1.54423,1.96533,0.6196,0.54406,0.60396,0.31023,1.59746,1.57746,2.32268,0.000585599,0.000585599,0.000585599
32,2398.61,1.37581,1.50396,1.95827,0.66077,0.58051,0.6386,0.34365,1.59943,1.49188,2.31285,0.000577352,0.000577352,0.000577352
33,2473.39,1.35214,1.4615,1.92769,0.6121,0.56254,0.6002,0.31606,1.61364,1.53543,2.36711,0.000569106,0.000569106,0.000569106
34,2547.95,1.32685,1.48666,1.92175,0.60558,0.47072,0.56115,0.29257,1.64493,1.7501,2.36538,0.000560859,0.000560859,0.000560859
35,2622.21,1.30534,1.40842,1.90393,0.67529,0.58743,0.6593,0.34433,1.56987,1.4212,2.31062,0.000552612,0.000552612,0.000552612
36,2696.34,1.32405,1.36158,1.8958,0.62109,0.6172,0.63487,0.34137,1.60757,1.46283,2.33618,0.000544365,0.000544365,0.000544365
37,2770.54,1.29479,1.35096,1.88802,0.73024,0.53558,0.65448,0.34479,1.60162,1.49831,2.36306,0.000536119,0.000536119,0.000536119
